Estimate	Std. Error	z value	Pr(>|z|)	var	inv	vars	converged
0	0	0.558242183233356	0.576679019415027	maxtemp	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precseason + tempseason	TRUE
-0.0562	0.2351	-0.238920334587173	0.811167357397331	mintemp	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precseason + tempseason	TRUE
0	0	-0.944022581772464	0.345158108809466	precseason	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precseason + tempseason	TRUE
0	0	-0.703752977871572	0.481586621671901	tempseason	X1_PuertoRico_3	abslat + popdens + maxtemp + mintemp + precseason + tempseason	TRUE
-5.1022	5.4074	-0.943556703745451	0.345396226025491	(Intercept)	X1_PuertoRico_3	abslat + maxtemp + mintemp + precseason + tempseason	TRUE
0	0	0.896355347801164	0.370063007338772	abslat	X1_PuertoRico_3	abslat + maxtemp + mintemp + precseason + tempseason	TRUE
0	0	0.549245359867183	0.582837079350157	maxtemp	X1_PuertoRico_3	abslat + maxtemp + mintemp + precseason + tempseason	TRUE
0	0	-0.221607291689499	0.824619605681143	mintemp	X1_PuertoRico_3	abslat + maxtemp + mintemp + precseason + tempseason	TRUE
0	0	-0.947762242705891	0.343250506141494	precseason	X1_PuertoRico_3	abslat + maxtemp + mintemp + precseason + tempseason	TRUE
0	0	-0.696980329722401	0.485815103905287	tempseason	X1_PuertoRico_3	abslat + maxtemp + mintemp + precseason + tempseason	TRUE
-5.1381	5.48	-0.937618580245989	0.348440459375624	(Intercept)	X1_PuertoRico_3	abslat + maxtemp + precseason + tempseason	TRUE
0	0	0.913278665302127	0.361096000085936	abslat	X1_PuertoRico_3	abslat + maxtemp + precseason + tempseason	TRUE
0	0	0.537399339442386	0.590991799512388	maxtemp	X1_PuertoRico_3	abslat + maxtemp + precseason + tempseason	TRUE
0	0	-0.931608322248949	0.351538980623654	precseason	X1_PuertoRico_3	abslat + maxtemp + precseason + tempseason	TRUE
0	0	-0.833827715832304	0.404378074755197	tempseason	X1_PuertoRico_3	abslat + maxtemp + precseason + tempseason	TRUE
0	0	-1.52973942797986	0.126081240026027	(Intercept)	X1_PuertoRico_3	abslat + precseason + tempseason	TRUE
0	0	0.837429252732199	0.402351328507673	abslat	X1_PuertoRico_3	abslat + precseason + tempseason	TRUE
0	0	-0.786176074566193	0.431764340770516	precseason	X1_PuertoRico_3	abslat + precseason + tempseason	TRUE
0	0	-0.662797785122381	0.507460072360944	tempseason	X1_PuertoRico_3	abslat + precseason + tempseason	TRUE
0	0	-1.4120666367554	0.157930341251944	(Intercept)	X1_PuertoRico_3	abslat + precseason	TRUE
0	0	0.501203184948571	0.616228133035436	abslat	X1_PuertoRico_3	abslat + precseason	TRUE
0	0	-0.893500802498539	0.371589042565277	precseason	X1_PuertoRico_3	abslat + precseason	TRUE
-1.7	1.23	-1.37719374639678	0.16845235476894	(Intercept)	X1_PuertoRico_3	precseason	TRUE
-0.0178	0.0196	-0.908812224340199	0.363449252767331	precseason	X1_PuertoRico_3	precseason	TRUE
4.46	5.38	0.828825583521885	0.407203109347795	(Intercept)	X1_Uganda_2	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
-0.115	0.133	-0.86367590573981	0.387765953129649	abslat	X1_Uganda_2	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
0	0	0.793510054148435	0.427480713872366	popdens	X1_Uganda_2	abslat + popdens + maxtemp + mintemp + precipitation + precseason + tempseason	TRUE
